learner_id,exercise_id,exercise_type,difficulty,score,timestamp
137,224,writing,medium,50.25526296465823,1696353219
79,233,reading,easy,100.0,1695040396
114,266,speaking,easy,78.71778206458362,1696471187
98,376,writing,hard,84.76418380504111,1696427733
65,297,writing,hard,3.135626014969006,1693553560
32,170,writing,easy,72.13324482383038,1696062174
183,115,listening,medium,56.75054496463331,1696227469
132,382,writing,medium,46.37174577567552,1695080534
168,338,writing,hard,41.70712854548086,1695446835
153,260,speaking,easy,71.10560754898037,1696109454
200,274,listening,medium,69.16845410859744,1695840196
40,356,reading,hard,83.46828220382636,1696407871
19,282,reading,easy,99.11303494349328,1695365406
18,131,writing,hard,65.37467337084763,1695949516
3,111,listening,easy,77.44696142816042,1696050451
100,276,writing,medium,68.30555162857029,1694190822
63,107,reading,easy,87.25248284968639,1696448867
76,225,speaking,medium,32.062786350292576,1693569116
136,295,speaking,medium,71.55225708703567,1695258240
32,274,listening,medium,93.26746005535301,1696502836
172,389,listening,medium,94.06845077867277,1695344196
137,243,writing,hard,74.34227440182356,1695919833
155,241,speaking,hard,36.18155668355903,1696235829
193,168,writing,easy,73.89285465277939,1694518566
102,384,writing,hard,63.96899946192485,1694112712
185,276,writing,medium,47.76260044509814,1696308896
1,312,listening,easy,84.5511971863285,1695177436
42,331,writing,medium,47.000371827765335,1693787126
90,122,writing,medium,46.49694139931237,1695945858
195,218,reading,easy,92.01581634908706,1696071439
64,151,speaking,medium,49.38516179511332,1694483916
91,144,writing,hard,52.61985625248602,1693805562
179,347,speaking,hard,26.917884636863818,1695189918
135,358,reading,hard,98.53712837822164,1694189921
50,197,reading,medium,84.01374006752005,1695436386
13,295,speaking,medium,64.77196391467417,1695229271
47,298,reading,easy,100.0,1694373938
25,250,reading,medium,84.56609226119164,1693940113
53,174,reading,hard,42.43588153607405,1694601893
73,166,writing,medium,69.69339320541093,1694319505
163,224,writing,medium,60.30163421006549,1694523727
133,251,speaking,medium,43.26121648891302,1694129767
31,383,listening,medium,52.8883229438035,1693653947
74,267,writing,easy,68.73825242839767,1693573006
109,254,writing,medium,61.53029869158247,1695135198
132,212,speaking,hard,36.25878929893162,1696313320
24,129,listening,hard,72.39323948452574,1695890095
199,126,listening,easy,92.76634467754656,1694305697
69,202,reading,hard,80.05151849197951,1694731125
116,101,reading,hard,56.550307109436915,1694450256
6,363,writing,easy,69.49993979781915,1694989183
178,178,reading,medium,49.12758351572436,1696138258
6,226,listening,easy,77.9959972263902,1693883974
102,348,writing,easy,79.76072945935715,1694553948
96,128,speaking,hard,41.34563133646188,1695831677
30,353,reading,medium,89.92849956841832,1695076266
99,368,writing,medium,62.95271124107454,1694238608
178,198,listening,medium,45.93787541179442,1695935018
87,137,speaking,easy,66.91300248552604,1695626165
140,388,listening,medium,41.71079270926981,1696277557
19,250,reading,medium,58.013362683824724,1695465057
148,256,listening,medium,43.20381585617148,1693591723
194,207,speaking,hard,38.259413152497956,1696275046
159,141,reading,hard,49.80920252084549,1694617605
138,378,speaking,hard,51.61655143958508,1695442665
74,264,writing,easy,100.0,1694891360
132,301,writing,medium,60.955548272371004,1696389288
56,399,writing,easy,65.53470980631758,1695634377
62,108,listening,medium,63.21256392145787,1693902381
131,296,reading,medium,77.74347355218816,1696112622
10,113,listening,easy,100.0,1696210628
106,179,listening,medium,20.822545420387893,1694207054
186,116,speaking,easy,29.299653587744857,1693865979
150,335,writing,easy,100.0,1696230184
144,125,speaking,easy,49.85468974188421,1696040587
67,389,listening,medium,62.884188919909484,1696115172
3,374,speaking,easy,90.46879681387587,1693822284
11,174,reading,hard,56.49277949380884,1694403073
192,301,writing,medium,52.96871239868037,1694081634
34,258,listening,medium,82.56251802118217,1695090138
33,122,writing,medium,32.7150139368251,1695817343
34,274,listening,medium,49.108267170866974,1695110637
97,381,writing,hard,45.97219135546861,1693990640
113,218,reading,easy,80.797528607584,1695874572
187,349,speaking,medium,37.441683491908506,1693546814
8,273,speaking,easy,68.05125920883651,1695060874
166,121,listening,easy,95.44258937428427,1695655151
135,326,writing,easy,81.73771275975717,1696277328
111,143,listening,easy,92.91133031812886,1695329336
194,128,speaking,hard,58.07495119479124,1694962873
60,238,reading,easy,86.06071994223639,1693978819
